productId,productName,environment,variantId,sku,size,color
"product-393307261","Just Gina™ Icon | Unisex tee","test","variant-4974991983","68CCD47B7652C_11546","S","Black"
"product-393307261","Just Gina™ Icon | Unisex tee","test","variant-4974991984","68CCD47B7652C_11547","M","Black"
"product-393307261","Just Gina™ Icon | Unisex tee","test","variant-4974991985","68CCD47B7652C_11548","L","Black"
"product-393307261","Just Gina™ Icon | Unisex tee","test","variant-4974991986","68CCD47B7652C_11549","XL","Black"
"product-393307261","Just Gina™ Icon | Unisex tee","test","variant-4974991987","68CCD47B7652C_11550","2XL","Black"
"product-393307261","Just Gina™ Icon | Unisex tee","test","variant-4974991988","68CCD47B7652C_12644","3XL","Black"
"product-393307261","Just Gina™ Icon | Unisex tee","test","variant-4974991989","68CCD47B7652C_12645","4XL","Black"
"product-393307261","Just Gina™ Icon | Unisex tee","test","variant-4974991990","68CCD47B7652C_12646","5XL","Black"
"product-393220449","Just Gina™ Wordmark | Dad hat","test","variant-4974400754","68CC523957059_7854","One size","Black"
"product-393220449","Just Gina™ Wordmark | Dad hat","test","variant-4974400755","68CC523957059_12736","One size","Dark Grey"
"product-393220449","Just Gina™ Wordmark | Dad hat","test","variant-4974400756","68CC523957059_7853","One size","White"
"product-397267935","Third Rail Farm | Black Glossy Mug","test","variant-5019554081","68F507530C6BB_9323","11 oz","Black"
"product-397267935","Third Rail Farm | Black Glossy Mug","test","variant-5019554082","68F507530C6BB_9324","15 oz","Black"
"product-393467942","Third Railify™ Icon | Dad hat","test","variant-4977038256","68CEAFCC66AF9_7854","One size","Black"
"product-393467942","Third Railify™ Icon | Dad hat","test","variant-4977038257","68CEAFCC66AF9_12736","One size","Dark Grey"
"product-393467942","Third Railify™ Icon | Dad hat","test","variant-4977038258","68CEAFCC66AF9_7853","One size","White"
"product-396326354","Third Railify™ Icon | Unisex pique polo shirt","test","variant-5014449435","68F04ED0408D0_16752","S","Black"
"product-396326354","Third Railify™ Icon | Unisex pique polo shirt","test","variant-5014449436","68F04ED0408D0_16753","M","Black"
"product-396326354","Third Railify™ Icon | Unisex pique polo shirt","test","variant-5014449437","68F04ED0408D0_16754","L","Black"
"product-396326354","Third Railify™ Icon | Unisex pique polo shirt","test","variant-5014449438","68F04ED0408D0_16755","XL","Black"
"product-396326354","Third Railify™ Icon | Unisex pique polo shirt","test","variant-5014449439","68F04ED0408D0_16756","2XL","Black"
"product-396326354","Third Railify™ Icon | Unisex pique polo shirt","test","variant-5014449440","68F04ED0408D0_16757","3XL","Black"
"product-396326354","Third Railify™ Icon | Unisex pique polo shirt","test","variant-5014449441","68F04ED0408D0_16758","4XL","Black"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028120","68CEAB997F150_12634","S","Maroon"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028121","68CEAB997F150_12635","M","Maroon"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028122","68CEAB997F150_12636","L","Maroon"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028123","68CEAB997F150_12637","XL","Maroon"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028124","68CEAB997F150_12638","2XL","Maroon"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028125","68CEAB997F150_16247","3XL","Maroon"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028126","68CEAB997F150_16248","4XL","Maroon"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028127","68CEAB997F150_16249","5XL","Maroon"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028128","68CEAB997F150_11546","S","Black"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028129","68CEAB997F150_11547","M","Black"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028130","68CEAB997F150_11548","L","Black"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028131","68CEAB997F150_11549","XL","Black"
